[2026-03-17 05:17:36.675] [Download] === START === file=The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4 fragment_size=524288 compression=false
[2026-03-17 05:17:36.676] [Download] All sources from Directory:
[2026-03-17 05:17:36.680] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:17:36.681] [Download] Using 1 source(s):
[2026-03-17 05:17:36.681] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:17:37.377] [Download] File size: 2901310881 bytes (2833311 KB)
[2026-03-17 05:17:37.388] [Download] Fragments: 5534 x 512KB, sources: 1
[2026-03-17 05:18:54.118] [FRAG] idx=38 offset=19922944 len=524288 source=13.39.21.10:6000 time_ms=1994 speed_KB/s=256 progress=0%
[2026-03-17 05:18:56.114] [FRAG] idx=39 offset=20447232 len=524288 source=13.39.21.10:6000 time_ms=1995 speed_KB/s=256 progress=0%
[2026-03-17 05:18:58.107] [FRAG] idx=40 offset=20971520 len=524288 source=13.39.21.10:6000 time_ms=1992 speed_KB/s=257 progress=0%
[2026-03-17 05:19:00.100] [FRAG] idx=41 offset=21495808 len=524288 source=13.39.21.10:6000 time_ms=1993 speed_KB/s=256 progress=0%
[2026-03-17 05:19:02.100] [FRAG] idx=42 offset=22020096 len=524288 source=13.39.21.10:6000 time_ms=1998 speed_KB/s=256 progress=0%
[2026-03-17 05:19:04.093] [FRAG] idx=43 offset=22544384 len=524288 source=13.39.21.10:6000 time_ms=1992 speed_KB/s=257 progress=0%
[2026-03-17 05:19:06.090] [FRAG] idx=44 offset=23068672 len=524288 source=13.39.21.10:6000 time_ms=1997 speed_KB/s=256 progress=0%
[2026-03-17 05:19:08.092] [FRAG] idx=45 offset=23592960 len=524288 source=13.39.21.10:6000 time_ms=2001 speed_KB/s=255 progress=0%
[2026-03-17 05:19:10.107] [FRAG] idx=46 offset=24117248 len=524288 source=13.39.21.10:6000 time_ms=2013 speed_KB/s=254 progress=0%
[2026-03-17 05:19:12.101] [FRAG] idx=47 offset=24641536 len=524288 source=13.39.21.10:6000 time_ms=1993 speed_KB/s=256 progress=0%
[2026-03-17 05:19:14.116] [FRAG] idx=48 offset=25165824 len=524288 source=13.39.21.10:6000 time_ms=2014 speed_KB/s=254 progress=0%
[2026-03-17 05:19:16.137] [FRAG] idx=49 offset=25690112 len=524288 source=13.39.21.10:6000 time_ms=2021 speed_KB/s=253 progress=0%
[2026-03-17 05:19:18.139] [FRAG] idx=50 offset=26214400 len=524288 source=13.39.21.10:6000 time_ms=2000 speed_KB/s=256 progress=0%
[2026-03-17 05:19:20.149] [FRAG] idx=51 offset=26738688 len=524288 source=13.39.21.10:6000 time_ms=2009 speed_KB/s=254 progress=0%
[2026-03-17 05:19:21.919] [FRAG] idx=52 offset=27262976 len=524288 source=13.39.21.10:6000 time_ms=1770 speed_KB/s=289 progress=0%
[2026-03-17 05:19:23.915] [FRAG] idx=53 offset=27787264 len=524288 source=13.39.21.10:6000 time_ms=1994 speed_KB/s=256 progress=0%
[2026-03-17 05:19:25.927] [FRAG] idx=54 offset=28311552 len=524288 source=13.39.21.10:6000 time_ms=2012 speed_KB/s=254 progress=0%
[2026-03-17 05:19:27.848] [FRAG] idx=55 offset=28835840 len=524288 source=13.39.21.10:6000 time_ms=1919 speed_KB/s=266 progress=1%
[2026-03-17 05:19:29.760] [FRAG] idx=56 offset=29360128 len=524288 source=13.39.21.10:6000 time_ms=1911 speed_KB/s=267 progress=1%
[2026-03-17 05:19:31.764] [FRAG] idx=57 offset=29884416 len=524288 source=13.39.21.10:6000 time_ms=2004 speed_KB/s=255 progress=1%
[2026-03-17 05:19:33.762] [FRAG] idx=58 offset=30408704 len=524288 source=13.39.21.10:6000 time_ms=1996 speed_KB/s=256 progress=1%
[2026-03-17 05:19:35.754] [FRAG] idx=59 offset=30932992 len=524288 source=13.39.21.10:6000 time_ms=1991 speed_KB/s=257 progress=1%
[2026-03-17 05:19:37.771] [FRAG] idx=60 offset=31457280 len=524288 source=13.39.21.10:6000 time_ms=2017 speed_KB/s=253 progress=1%
[2026-03-17 05:19:39.775] [FRAG] idx=61 offset=31981568 len=524288 source=13.39.21.10:6000 time_ms=2003 speed_KB/s=255 progress=1%
[2026-03-17 05:19:41.803] [FRAG] idx=62 offset=32505856 len=524288 source=13.39.21.10:6000 time_ms=2027 speed_KB/s=252 progress=1%
[2026-03-17 05:19:43.722] [FRAG] idx=63 offset=33030144 len=524288 source=13.39.21.10:6000 time_ms=1918 speed_KB/s=266 progress=1%
[2026-03-17 05:19:45.722] [FRAG] idx=64 offset=33554432 len=524288 source=13.39.21.10:6000 time_ms=2000 speed_KB/s=256 progress=1%
[2026-03-17 05:19:47.725] [FRAG] idx=65 offset=34078720 len=524288 source=13.39.21.10:6000 time_ms=2002 speed_KB/s=255 progress=1%
[2026-03-17 05:19:49.720] [FRAG] idx=66 offset=34603008 len=524288 source=13.39.21.10:6000 time_ms=1994 speed_KB/s=256 progress=1%
[2026-03-17 05:19:51.719] [FRAG] idx=67 offset=35127296 len=524288 source=13.39.21.10:6000 time_ms=1998 speed_KB/s=256 progress=1%
[2026-03-17 05:19:53.729] [FRAG] idx=68 offset=35651584 len=524288 source=13.39.21.10:6000 time_ms=2010 speed_KB/s=254 progress=1%
[2026-03-17 05:19:55.657] [FRAG] idx=69 offset=36175872 len=524288 source=13.39.21.10:6000 time_ms=1928 speed_KB/s=265 progress=1%
[2026-03-17 05:19:57.580] [FRAG] idx=70 offset=36700160 len=524288 source=13.39.21.10:6000 time_ms=1923 speed_KB/s=266 progress=1%
[2026-03-17 05:19:59.600] [FRAG] idx=71 offset=37224448 len=524288 source=13.39.21.10:6000 time_ms=2019 speed_KB/s=253 progress=1%
[2026-03-17 05:20:01.617] [FRAG] idx=72 offset=37748736 len=524288 source=13.39.21.10:6000 time_ms=2016 speed_KB/s=253 progress=1%
[2026-03-17 05:20:03.638] [FRAG] idx=73 offset=38273024 len=524288 source=13.39.21.10:6000 time_ms=2021 speed_KB/s=253 progress=1%
[2026-03-17 05:20:05.635] [FRAG] idx=74 offset=38797312 len=524288 source=13.39.21.10:6000 time_ms=1997 speed_KB/s=256 progress=1%
[2026-03-17 05:20:07.639] [FRAG] idx=75 offset=39321600 len=524288 source=13.39.21.10:6000 time_ms=2002 speed_KB/s=255 progress=1%
[2026-03-17 05:20:09.559] [FRAG] idx=76 offset=39845888 len=524288 source=13.39.21.10:6000 time_ms=1920 speed_KB/s=266 progress=1%
[2026-03-17 05:20:11.575] [FRAG] idx=77 offset=40370176 len=524288 source=13.39.21.10:6000 time_ms=2014 speed_KB/s=254 progress=1%
[2026-03-17 05:20:13.573] [FRAG] idx=78 offset=40894464 len=524288 source=13.39.21.10:6000 time_ms=1997 speed_KB/s=256 progress=1%
[2026-03-17 05:20:15.582] [FRAG] idx=79 offset=41418752 len=524288 source=13.39.21.10:6000 time_ms=2008 speed_KB/s=254 progress=1%
[2026-03-17 05:20:17.582] [FRAG] idx=80 offset=41943040 len=524288 source=13.39.21.10:6000 time_ms=1999 speed_KB/s=256 progress=1%
[2026-03-17 05:20:19.587] [FRAG] idx=81 offset=42467328 len=524288 source=13.39.21.10:6000 time_ms=2005 speed_KB/s=255 progress=1%
[2026-03-17 05:20:21.590] [FRAG] idx=82 offset=42991616 len=524288 source=13.39.21.10:6000 time_ms=2001 speed_KB/s=255 progress=1%
[2026-03-17 05:20:23.601] [FRAG] idx=83 offset=43515904 len=524288 source=13.39.21.10:6000 time_ms=2011 speed_KB/s=254 progress=1%
[2026-03-17 05:20:25.606] [FRAG] idx=84 offset=44040192 len=524288 source=13.39.21.10:6000 time_ms=2004 speed_KB/s=255 progress=1%
[2026-03-17 05:20:27.617] [FRAG] idx=85 offset=44564480 len=524288 source=13.39.21.10:6000 time_ms=2010 speed_KB/s=254 progress=1%
[2026-03-17 05:20:29.617] [FRAG] idx=86 offset=45088768 len=524288 source=13.39.21.10:6000 time_ms=1999 speed_KB/s=256 progress=1%
[2026-03-17 05:20:31.626] [FRAG] idx=87 offset=45613056 len=524288 source=13.39.21.10:6000 time_ms=2008 speed_KB/s=254 progress=1%
[2026-03-17 05:20:33.649] [FRAG] idx=88 offset=46137344 len=524288 source=13.39.21.10:6000 time_ms=2022 speed_KB/s=253 progress=1%
[2026-03-17 05:20:35.645] [FRAG] idx=89 offset=46661632 len=524288 source=13.39.21.10:6000 time_ms=1996 speed_KB/s=256 progress=1%
[2026-03-17 05:20:37.433] [FRAG] idx=90 offset=47185920 len=524288 source=13.39.21.10:6000 time_ms=1786 speed_KB/s=286 progress=1%
[2026-03-17 05:20:39.426] [FRAG] idx=91 offset=47710208 len=524288 source=13.39.21.10:6000 time_ms=1993 speed_KB/s=256 progress=1%
[2026-03-17 05:20:41.423] [FRAG] idx=92 offset=48234496 len=524288 source=13.39.21.10:6000 time_ms=1996 speed_KB/s=256 progress=1%
[2026-03-17 05:20:43.435] [FRAG] idx=93 offset=48758784 len=524288 source=13.39.21.10:6000 time_ms=2011 speed_KB/s=254 progress=1%
[2026-03-17 05:20:45.436] [FRAG] idx=94 offset=49283072 len=524288 source=13.39.21.10:6000 time_ms=2001 speed_KB/s=255 progress=1%
[2026-03-17 05:20:47.443] [FRAG] idx=95 offset=49807360 len=524288 source=13.39.21.10:6000 time_ms=2007 speed_KB/s=255 progress=1%
[2026-03-17 05:20:49.465] [FRAG] idx=96 offset=50331648 len=524288 source=13.39.21.10:6000 time_ms=2020 speed_KB/s=253 progress=1%
[2026-03-17 05:20:51.468] [FRAG] idx=97 offset=50855936 len=524288 source=13.39.21.10:6000 time_ms=2003 speed_KB/s=255 progress=1%
[2026-03-17 05:20:53.473] [FRAG] idx=98 offset=51380224 len=524288 source=13.39.21.10:6000 time_ms=2004 speed_KB/s=255 progress=1%
[2026-03-17 05:20:55.482] [FRAG] idx=99 offset=51904512 len=524288 source=13.39.21.10:6000 time_ms=2008 speed_KB/s=254 progress=1%
[2026-03-17 05:20:57.490] [FRAG] idx=100 offset=52428800 len=524288 source=13.39.21.10:6000 time_ms=2007 speed_KB/s=255 progress=1%
[2026-03-17 05:20:59.405] [FRAG] idx=101 offset=52953088 len=524288 source=13.39.21.10:6000 time_ms=1915 speed_KB/s=267 progress=1%
[2026-03-17 05:21:01.429] [FRAG] idx=102 offset=53477376 len=524288 source=13.39.21.10:6000 time_ms=2023 speed_KB/s=253 progress=1%
[2026-03-17 05:21:03.253] [FRAG] idx=103 offset=54001664 len=524288 source=13.39.21.10:6000 time_ms=1822 speed_KB/s=281 progress=1%
[2026-03-17 05:21:05.187] [FRAG] idx=104 offset=54525952 len=524288 source=13.39.21.10:6000 time_ms=1933 speed_KB/s=264 progress=1%
[2026-03-17 05:21:07.200] [FRAG] idx=105 offset=55050240 len=524288 source=13.39.21.10:6000 time_ms=2012 speed_KB/s=254 progress=1%
[2026-03-17 05:21:09.198] [FRAG] idx=106 offset=55574528 len=524288 source=13.39.21.10:6000 time_ms=1998 speed_KB/s=256 progress=1%
[2026-03-17 05:21:11.209] [FRAG] idx=107 offset=56098816 len=524288 source=13.39.21.10:6000 time_ms=2010 speed_KB/s=254 progress=1%
[2026-03-17 05:21:13.117] [FRAG] idx=108 offset=56623104 len=524288 source=13.39.21.10:6000 time_ms=1908 speed_KB/s=268 progress=1%
[2026-03-17 05:21:15.127] [FRAG] idx=109 offset=57147392 len=524288 source=13.39.21.10:6000 time_ms=2010 speed_KB/s=254 progress=1%
[2026-03-17 05:21:17.126] [FRAG] idx=110 offset=57671680 len=524288 source=13.39.21.10:6000 time_ms=1998 speed_KB/s=256 progress=2%
[2026-03-17 05:21:19.130] [FRAG] idx=111 offset=58195968 len=524288 source=13.39.21.10:6000 time_ms=2003 speed_KB/s=255 progress=2%
[2026-03-17 05:21:21.048] [FRAG] idx=112 offset=58720256 len=524288 source=13.39.21.10:6000 time_ms=1917 speed_KB/s=267 progress=2%
[2026-03-17 05:21:23.046] [FRAG] idx=113 offset=59244544 len=524288 source=13.39.21.10:6000 time_ms=1998 speed_KB/s=256 progress=2%
