[2026-03-17 13:53:34.132] [Download] === START === file=The Godfather - Home Movies.mkv fragment_size=131072 compression=true
[2026-03-17 13:53:34.134] [Download] All sources from Directory:
[2026-03-17 13:53:34.138] [Download]   32.195.67.201:6001 [load=0]
[2026-03-17 13:53:34.138] [Download]   100.54.135.117:6005 [load=0]
[2026-03-17 13:53:34.139] [Download]   54.236.243.227:6004 [load=0]
[2026-03-17 13:53:34.139] [Download]   44.192.106.49:6001 [load=0]
[2026-03-17 13:53:34.139] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 13:53:34.139] [Download]   3.234.226.220:6003 [load=0]
[2026-03-17 13:53:34.140] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 13:53:34.140] [Download]   13.220.244.217:6002 [load=0]
[2026-03-17 13:53:34.140] [Download] Using 8 source(s):
[2026-03-17 13:53:34.141] [Download]   32.195.67.201:6001 [load=0]
[2026-03-17 13:53:34.141] [Download]   100.54.135.117:6005 [load=0]
[2026-03-17 13:53:34.141] [Download]   54.236.243.227:6004 [load=0]
[2026-03-17 13:53:34.142] [Download]   44.192.106.49:6001 [load=0]
[2026-03-17 13:53:34.142] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 13:53:34.142] [Download]   3.234.226.220:6003 [load=0]
[2026-03-17 13:53:34.143] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 13:53:34.143] [Download]   13.220.244.217:6002 [load=0]
[2026-03-17 13:53:34.937] [Download] File size: 197256227 bytes (192633 KB)
[2026-03-17 13:53:34.946] [Download] Fragments: 1505 x 128KB, sources: 8
[2026-03-17 13:53:49.213] [FRAG] idx=30 offset=3932160 len=131072 source=13.220.244.217:6002 time_ms=3625 speed_KB/s=35 progress=2%
[2026-03-17 13:53:49.870] [FRAG] idx=38 offset=4980736 len=131072 source=13.39.21.10:6000 time_ms=1237 speed_KB/s=103 progress=2%
[2026-03-17 13:53:49.934] [FRAG] idx=37 offset=4849664 len=131072 source=3.234.226.220:6003 time_ms=2337 speed_KB/s=54 progress=2%
[2026-03-17 13:53:50.009] [FRAG] idx=36 offset=4718592 len=131072 source=44.220.89.93:6002 time_ms=2500 speed_KB/s=51 progress=2%
[2026-03-17 13:53:50.319] [FRAG] idx=29 offset=3801088 len=131072 source=44.192.106.49:6001 time_ms=5042 speed_KB/s=25 progress=2%
[2026-03-17 13:53:50.979] [FRAG] idx=34 offset=4456448 len=131072 source=32.195.67.201:6001 time_ms=3939 speed_KB/s=32 progress=2%
[2026-03-17 13:53:51.103] [FRAG] idx=40 offset=5242880 len=131072 source=13.39.21.10:6000 time_ms=1232 speed_KB/s=103 progress=2%
[2026-03-17 13:53:52.420] [FRAG] idx=45 offset=5898240 len=131072 source=13.39.21.10:6000 time_ms=1317 speed_KB/s=97 progress=2%
[2026-03-17 13:53:52.437] [FRAG] idx=42 offset=5505024 len=131072 source=44.220.89.93:6002 time_ms=2427 speed_KB/s=52 progress=2%
[2026-03-17 13:53:52.480] [FRAG] idx=41 offset=5373952 len=131072 source=3.234.226.220:6003 time_ms=2546 speed_KB/s=50 progress=2%
[2026-03-17 13:53:52.722] [FRAG] idx=39 offset=5111808 len=131072 source=13.220.244.217:6002 time_ms=3509 speed_KB/s=36 progress=2%
[2026-03-17 13:53:53.740] [FRAG] idx=46 offset=6029312 len=131072 source=13.39.21.10:6000 time_ms=1320 speed_KB/s=96 progress=2%
[2026-03-17 13:53:54.936] [FRAG] idx=44 offset=5767168 len=131072 source=32.195.67.201:6001 time_ms=3956 speed_KB/s=32 progress=2%
[2026-03-17 13:53:55.054] [FRAG] idx=50 offset=6553600 len=131072 source=13.39.21.10:6000 time_ms=1314 speed_KB/s=97 progress=2%
[2026-03-17 13:53:55.090] [FRAG] idx=47 offset=6160384 len=131072 source=44.220.89.93:6002 time_ms=2653 speed_KB/s=48 progress=3%
[2026-03-17 13:53:55.101] [FRAG] idx=48 offset=6291456 len=131072 source=3.234.226.220:6003 time_ms=2621 speed_KB/s=48 progress=3%
[2026-03-17 13:53:55.201] [FRAG] idx=43 offset=5636096 len=131072 source=44.192.106.49:6001 time_ms=4882 speed_KB/s=26 progress=3%
[2026-03-17 13:53:56.137] [FRAG] idx=49 offset=6422528 len=131072 source=13.220.244.217:6002 time_ms=3415 speed_KB/s=37 progress=3%
[2026-03-17 13:53:56.294] [FRAG] idx=52 offset=6815744 len=131072 source=13.39.21.10:6000 time_ms=1240 speed_KB/s=103 progress=3%
[2026-03-17 13:53:56.506] [FRAG] idx=31 offset=4063232 len=131072 source=100.54.135.117:6005 time_ms=10917 speed_KB/s=11 progress=3%
[2026-03-17 13:53:57.529] [FRAG] idx=57 offset=7471104 len=131072 source=13.39.21.10:6000 time_ms=1233 speed_KB/s=103 progress=3%
[2026-03-17 13:53:57.731] [FRAG] idx=54 offset=7077888 len=131072 source=3.234.226.220:6003 time_ms=2630 speed_KB/s=48 progress=3%
[2026-03-17 13:53:57.748] [FRAG] idx=53 offset=6946816 len=131072 source=44.220.89.93:6002 time_ms=2658 speed_KB/s=48 progress=3%
[2026-03-17 13:53:58.850] [FRAG] idx=59 offset=7733248 len=131072 source=13.39.21.10:6000 time_ms=1321 speed_KB/s=96 progress=3%
[2026-03-17 13:53:58.881] [FRAG] idx=51 offset=6684672 len=131072 source=32.195.67.201:6001 time_ms=3945 speed_KB/s=32 progress=3%
[2026-03-17 13:53:59.388] [FRAG] idx=33 offset=4325376 len=131072 source=54.236.243.227:6004 time_ms=12735 speed_KB/s=10 progress=3%
[2026-03-17 13:53:59.536] [FRAG] idx=56 offset=7340032 len=131072 source=13.220.244.217:6002 time_ms=3398 speed_KB/s=37 progress=3%
[2026-03-17 13:54:00.065] [FRAG] idx=60 offset=7864320 len=131072 source=3.234.226.220:6003 time_ms=2333 speed_KB/s=54 progress=3%
[2026-03-17 13:54:00.084] [FRAG] idx=62 offset=8126464 len=131072 source=13.39.21.10:6000 time_ms=1233 speed_KB/s=103 progress=3%
[2026-03-17 13:54:00.097] [FRAG] idx=55 offset=7208960 len=131072 source=44.192.106.49:6001 time_ms=4895 speed_KB/s=26 progress=4%
[2026-03-17 13:54:00.109] [FRAG] idx=61 offset=7995392 len=131072 source=44.220.89.93:6002 time_ms=2359 speed_KB/s=54 progress=4%
[2026-03-17 13:54:01.401] [FRAG] idx=67 offset=8781824 len=131072 source=13.39.21.10:6000 time_ms=1317 speed_KB/s=97 progress=4%
[2026-03-17 13:54:02.606] [FRAG] idx=69 offset=9043968 len=131072 source=44.220.89.93:6002 time_ms=2496 speed_KB/s=51 progress=4%
[2026-03-17 13:54:02.609] [FRAG] idx=66 offset=8650752 len=131072 source=3.234.226.220:6003 time_ms=2544 speed_KB/s=50 progress=4%
[2026-03-17 13:54:02.762] [FRAG] idx=70 offset=9175040 len=131072 source=13.39.21.10:6000 time_ms=1360 speed_KB/s=94 progress=4%
[2026-03-17 13:54:02.830] [FRAG] idx=63 offset=8257536 len=131072 source=32.195.67.201:6001 time_ms=3948 speed_KB/s=32 progress=4%
[2026-03-17 13:54:02.928] [FRAG] idx=65 offset=8519680 len=131072 source=13.220.244.217:6002 time_ms=3392 speed_KB/s=37 progress=4%
[2026-03-17 13:54:03.993] [FRAG] idx=73 offset=9568256 len=131072 source=13.39.21.10:6000 time_ms=1231 speed_KB/s=103 progress=4%
