timestamp,region,daemon_ip,log_file,file,file_size_bytes,fragment_size_bytes,total_fragments,sources_used,compression,total_time_ms,avg_speed_KB_s,failed_fragments,sources_json
2026-03-17 05:52:55.153,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",9959701,131072,76,3,true,44492,218,0,"[{""source"": ""32.195.67.201:6001"", ""fragments"": 20, ""bytes"": 2621440, ""time_ms"": 43459, ""speed_KB_s"": 58}, {""source"": ""13.39.21.10:6000"", ""fragments"": 34, ""bytes"": 4454677, ""time_ms"": 44452, ""speed_KB_s"": 97}, {""source"": ""13.220.244.217:6002"", ""fragments"": 22, ""bytes"": 2883584, ""time_ms"": 43337, ""speed_KB_s"": 64}]"
2026-03-17 05:54:36.752,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",9959701,524288,19,3,true,28193,344,0,"[{""source"": ""32.195.67.201:6001"", ""fragments"": 3, ""bytes"": 1572864, ""time_ms"": 23370, ""speed_KB_s"": 65}, {""source"": ""13.39.21.10:6000"", ""fragments"": 12, ""bytes"": 6289685, ""time_ms"": 24041, ""speed_KB_s"": 255}, {""source"": ""13.220.244.217:6002"", ""fragments"": 4, ""bytes"": 2097152, ""time_ms"": 28186, ""speed_KB_s"": 72}]"
2026-03-17 05:55:31.878,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",9959701,1048576,10,3,true,27645,351,0,"[{""source"": ""32.195.67.201:6001"", ""fragments"": 1, ""bytes"": 1048576, ""time_ms"": 15105, ""speed_KB_s"": 67}, {""source"": ""13.39.21.10:6000"", ""fragments"": 7, ""bytes"": 6813973, ""time_ms"": 16366, ""speed_KB_s"": 406}, {""source"": ""13.220.244.217:6002"", ""fragments"": 2, ""bytes"": 2097152, ""time_ms"": 27640, ""speed_KB_s"": 74}]"
2026-03-17 01:58:38.459,ap-ne-3,56.155.81.174,download-56.155.81.174-Before.Sunset.2004.720p.BrRip.x264.YIFY.mp4.log,Before.Sunset.2004.720p.BrRip.x264.YIFY.mp4,629293661,262144,2401,1,true,106738,5757,0,"[{""source"": ""13.39.21.10:6000"", ""fragments"": 72, ""bytes"": 18874368, ""time_ms"": 105961, ""speed_KB_s"": 173}]"
2026-03-17 05:27:03.201,ap-ne-3,56.155.81.174,download-56.155.81.174-The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4.log,The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4,2901310881,524288,5534,1,false,565799,5007,0,"[{""source"": ""13.39.21.10:6000"", ""fragments"": 288, ""bytes"": 150994944, ""time_ms"": 564852, ""speed_KB_s"": 261}]"
2026-03-17 05:14:20.203,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,52428800,524288,100,1,false,198067,258,0,"[{""source"": ""13.39.21.10:6000"", ""fragments"": 100, ""bytes"": 52428800, ""time_ms"": 197970, ""speed_KB_s"": 258}]"
2026-03-17 05:40:47.929,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,52428800,524288,100,2,false,157769,324,0,"[{""source"": ""32.195.67.201:6001"", ""fragments"": 20, ""bytes"": 10485760, ""time_ms"": 157755, ""speed_KB_s"": 64}, {""source"": ""13.39.21.10:6000"", ""fragments"": 80, ""bytes"": 41943040, ""time_ms"": 156946, ""speed_KB_s"": 260}]"
2026-03-17 05:44:45.526,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,52428800,524288,100,3,false,156888,326,0,"[{""source"": ""32.195.67.201:6001"", ""fragments"": 11, ""bytes"": 5767168, ""time_ms"": 148359, ""speed_KB_s"": 37}, {""source"": ""13.39.21.10:6000"", ""fragments"": 76, ""bytes"": 39845888, ""time_ms"": 149542, ""speed_KB_s"": 260}, {""source"": ""13.220.244.217:6002"", ""fragments"": 13, ""bytes"": 6815744, ""time_ms"": 156872, ""speed_KB_s"": 42}]"
2026-03-17 05:50:13.902,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,52428800,131072,400,3,true,272531,187,0,"[{""source"": ""32.195.67.201:6001"", ""fragments"": 89, ""bytes"": 11665408, ""time_ms"": 272455, ""speed_KB_s"": 41}, {""source"": ""13.39.21.10:6000"", ""fragments"": 209, ""bytes"": 27394048, ""time_ms"": 271357, ""speed_KB_s"": 98}, {""source"": ""13.220.244.217:6002"", ""fragments"": 102, ""bytes"": 13369344, ""time_ms"": 272483, ""speed_KB_s"": 47}]"
2026-03-17 05:10:49.826,ap-ne-3,56.155.81.174,download-56.155.81.174-test-medium.bin.log,test-medium.bin,5242880,524288,10,1,false,20006,255,0,"[{""source"": ""13.39.21.10:6000"", ""fragments"": 10, ""bytes"": 5242880, ""time_ms"": 19982, ""speed_KB_s"": 256}]"
