[2026-03-17 05:20:50.999] [Download] === START === file=The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4 fragment_size=524288 compression=false
[2026-03-17 05:20:51.000] [Download] All sources from Directory:
[2026-03-17 05:20:51.004] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:20:51.005] [Download] Using 1 source(s):
[2026-03-17 05:20:51.005] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:20:51.256] [Download] File size: 2901310881 bytes (2833311 KB)
[2026-03-17 05:20:51.266] [Download] Fragments: 5534 x 512KB, sources: 1
[2026-03-17 05:21:36.314] [FRAG] idx=38 offset=19922944 len=524288 source=13.39.21.10:6000 time_ms=1131 speed_KB/s=452 progress=0%
[2026-03-17 05:21:37.445] [FRAG] idx=39 offset=20447232 len=524288 source=13.39.21.10:6000 time_ms=1130 speed_KB/s=453 progress=0%
[2026-03-17 05:21:38.597] [FRAG] idx=40 offset=20971520 len=524288 source=13.39.21.10:6000 time_ms=1151 speed_KB/s=444 progress=0%
[2026-03-17 05:21:39.750] [FRAG] idx=41 offset=21495808 len=524288 source=13.39.21.10:6000 time_ms=1152 speed_KB/s=444 progress=0%
[2026-03-17 05:21:41.606] [FRAG] idx=42 offset=22020096 len=524288 source=13.39.21.10:6000 time_ms=1855 speed_KB/s=276 progress=0%
[2026-03-17 05:21:42.696] [FRAG] idx=43 offset=22544384 len=524288 source=13.39.21.10:6000 time_ms=1089 speed_KB/s=470 progress=0%
[2026-03-17 05:21:43.841] [FRAG] idx=44 offset=23068672 len=524288 source=13.39.21.10:6000 time_ms=1144 speed_KB/s=447 progress=0%
[2026-03-17 05:21:44.914] [FRAG] idx=45 offset=23592960 len=524288 source=13.39.21.10:6000 time_ms=1072 speed_KB/s=477 progress=0%
[2026-03-17 05:21:46.057] [FRAG] idx=46 offset=24117248 len=524288 source=13.39.21.10:6000 time_ms=1143 speed_KB/s=447 progress=0%
[2026-03-17 05:21:47.211] [FRAG] idx=47 offset=24641536 len=524288 source=13.39.21.10:6000 time_ms=1152 speed_KB/s=444 progress=0%
[2026-03-17 05:21:48.355] [FRAG] idx=48 offset=25165824 len=524288 source=13.39.21.10:6000 time_ms=1144 speed_KB/s=447 progress=0%
[2026-03-17 05:21:49.488] [FRAG] idx=49 offset=25690112 len=524288 source=13.39.21.10:6000 time_ms=1132 speed_KB/s=452 progress=0%
[2026-03-17 05:21:50.643] [FRAG] idx=50 offset=26214400 len=524288 source=13.39.21.10:6000 time_ms=1154 speed_KB/s=443 progress=0%
[2026-03-17 05:21:51.789] [FRAG] idx=51 offset=26738688 len=524288 source=13.39.21.10:6000 time_ms=1144 speed_KB/s=447 progress=0%
[2026-03-17 05:21:52.863] [FRAG] idx=52 offset=27262976 len=524288 source=13.39.21.10:6000 time_ms=1074 speed_KB/s=476 progress=0%
[2026-03-17 05:21:54.012] [FRAG] idx=53 offset=27787264 len=524288 source=13.39.21.10:6000 time_ms=1148 speed_KB/s=445 progress=0%
[2026-03-17 05:21:55.174] [FRAG] idx=54 offset=28311552 len=524288 source=13.39.21.10:6000 time_ms=1161 speed_KB/s=440 progress=0%
[2026-03-17 05:21:56.311] [FRAG] idx=55 offset=28835840 len=524288 source=13.39.21.10:6000 time_ms=1137 speed_KB/s=450 progress=1%
[2026-03-17 05:21:57.446] [FRAG] idx=56 offset=29360128 len=524288 source=13.39.21.10:6000 time_ms=1134 speed_KB/s=451 progress=1%
[2026-03-17 05:21:58.575] [FRAG] idx=57 offset=29884416 len=524288 source=13.39.21.10:6000 time_ms=1128 speed_KB/s=453 progress=1%
[2026-03-17 05:21:59.708] [FRAG] idx=58 offset=30408704 len=524288 source=13.39.21.10:6000 time_ms=1133 speed_KB/s=451 progress=1%
[2026-03-17 05:22:00.776] [FRAG] idx=59 offset=30932992 len=524288 source=13.39.21.10:6000 time_ms=1066 speed_KB/s=480 progress=1%
[2026-03-17 05:22:02.143] [FRAG] idx=60 offset=31457280 len=524288 source=13.39.21.10:6000 time_ms=1367 speed_KB/s=374 progress=1%
[2026-03-17 05:22:03.590] [FRAG] idx=61 offset=31981568 len=524288 source=13.39.21.10:6000 time_ms=1446 speed_KB/s=354 progress=1%
[2026-03-17 05:22:04.763] [FRAG] idx=62 offset=32505856 len=524288 source=13.39.21.10:6000 time_ms=1172 speed_KB/s=436 progress=1%
[2026-03-17 05:22:05.922] [FRAG] idx=63 offset=33030144 len=524288 source=13.39.21.10:6000 time_ms=1157 speed_KB/s=442 progress=1%
[2026-03-17 05:22:07.067] [FRAG] idx=64 offset=33554432 len=524288 source=13.39.21.10:6000 time_ms=1144 speed_KB/s=447 progress=1%
[2026-03-17 05:22:08.237] [FRAG] idx=65 offset=34078720 len=524288 source=13.39.21.10:6000 time_ms=1169 speed_KB/s=437 progress=1%
[2026-03-17 05:22:09.390] [FRAG] idx=66 offset=34603008 len=524288 source=13.39.21.10:6000 time_ms=1152 speed_KB/s=444 progress=1%
[2026-03-17 05:22:11.147] [FRAG] idx=67 offset=35127296 len=524288 source=13.39.21.10:6000 time_ms=1756 speed_KB/s=291 progress=1%
[2026-03-17 05:22:12.266] [FRAG] idx=68 offset=35651584 len=524288 source=13.39.21.10:6000 time_ms=1119 speed_KB/s=457 progress=1%
[2026-03-17 05:22:13.416] [FRAG] idx=69 offset=36175872 len=524288 source=13.39.21.10:6000 time_ms=1150 speed_KB/s=445 progress=1%
[2026-03-17 05:22:14.562] [FRAG] idx=70 offset=36700160 len=524288 source=13.39.21.10:6000 time_ms=1145 speed_KB/s=447 progress=1%
[2026-03-17 05:22:15.710] [FRAG] idx=71 offset=37224448 len=524288 source=13.39.21.10:6000 time_ms=1146 speed_KB/s=446 progress=1%
[2026-03-17 05:22:16.875] [FRAG] idx=72 offset=37748736 len=524288 source=13.39.21.10:6000 time_ms=1164 speed_KB/s=439 progress=1%
[2026-03-17 05:22:18.034] [FRAG] idx=73 offset=38273024 len=524288 source=13.39.21.10:6000 time_ms=1158 speed_KB/s=442 progress=1%
[2026-03-17 05:22:19.180] [FRAG] idx=74 offset=38797312 len=524288 source=13.39.21.10:6000 time_ms=1145 speed_KB/s=447 progress=1%
[2026-03-17 05:22:20.339] [FRAG] idx=75 offset=39321600 len=524288 source=13.39.21.10:6000 time_ms=1158 speed_KB/s=442 progress=1%
[2026-03-17 05:22:21.490] [FRAG] idx=76 offset=39845888 len=524288 source=13.39.21.10:6000 time_ms=1150 speed_KB/s=445 progress=1%
[2026-03-17 05:22:23.211] [FRAG] idx=77 offset=40370176 len=524288 source=13.39.21.10:6000 time_ms=1720 speed_KB/s=297 progress=1%
[2026-03-17 05:22:24.305] [FRAG] idx=78 offset=40894464 len=524288 source=13.39.21.10:6000 time_ms=1093 speed_KB/s=468 progress=1%
[2026-03-17 05:22:25.447] [FRAG] idx=79 offset=41418752 len=524288 source=13.39.21.10:6000 time_ms=1141 speed_KB/s=448 progress=1%
[2026-03-17 05:22:26.607] [FRAG] idx=80 offset=41943040 len=524288 source=13.39.21.10:6000 time_ms=1159 speed_KB/s=441 progress=1%
[2026-03-17 05:22:27.669] [FRAG] idx=81 offset=42467328 len=524288 source=13.39.21.10:6000 time_ms=1061 speed_KB/s=482 progress=1%
[2026-03-17 05:22:28.814] [FRAG] idx=82 offset=42991616 len=524288 source=13.39.21.10:6000 time_ms=1144 speed_KB/s=447 progress=1%
[2026-03-17 05:22:29.963] [FRAG] idx=83 offset=43515904 len=524288 source=13.39.21.10:6000 time_ms=1148 speed_KB/s=445 progress=1%
[2026-03-17 05:22:31.143] [FRAG] idx=84 offset=44040192 len=524288 source=13.39.21.10:6000 time_ms=1179 speed_KB/s=434 progress=1%
[2026-03-17 05:22:32.295] [FRAG] idx=85 offset=44564480 len=524288 source=13.39.21.10:6000 time_ms=1151 speed_KB/s=444 progress=1%
