[2026-03-17 13:53:15.223] [Download] === START === file=The Godfather - Home Movies.mkv fragment_size=131072 compression=true
[2026-03-17 13:53:15.224] [Download] All sources from Directory:
[2026-03-17 13:53:15.228] [Download]   100.54.135.117:6005 [load=0]
[2026-03-17 13:53:15.229] [Download]   54.236.243.227:6004 [load=0]
[2026-03-17 13:53:15.229] [Download]   44.192.106.49:6001 [load=0]
[2026-03-17 13:53:15.229] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 13:53:15.230] [Download]   3.234.226.220:6003 [load=0]
[2026-03-17 13:53:15.230] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 13:53:15.230] [Download]   13.220.244.217:6002 [load=0]
[2026-03-17 13:53:15.231] [Download]   32.195.67.201:6001 [load=1]
[2026-03-17 13:53:15.231] [Download] Using 8 source(s):
[2026-03-17 13:53:15.234] [Download]   100.54.135.117:6005 [load=0]
[2026-03-17 13:53:15.235] [Download]   54.236.243.227:6004 [load=0]
[2026-03-17 13:53:15.235] [Download]   44.192.106.49:6001 [load=0]
[2026-03-17 13:53:15.235] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 13:53:15.235] [Download]   3.234.226.220:6003 [load=0]
[2026-03-17 13:53:15.236] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 13:53:15.236] [Download]   13.220.244.217:6002 [load=0]
[2026-03-17 13:53:15.236] [Download]   32.195.67.201:6001 [load=1]
[2026-03-17 13:53:16.266] [Download] File size: 197256227 bytes (192633 KB)
[2026-03-17 13:53:16.276] [Download] Fragments: 1505 x 128KB, sources: 8
[2026-03-17 13:53:16.991] [FRAG] idx=3 offset=393216 len=131072 source=13.39.21.10:6000 time_ms=686 speed_KB/s=186 progress=0%
[2026-03-17 13:53:17.686] [FRAG] idx=8 offset=1048576 len=131072 source=13.39.21.10:6000 time_ms=695 speed_KB/s=184 progress=0%
[2026-03-17 13:53:18.060] [FRAG] idx=5 offset=655360 len=131072 source=44.220.89.93:6002 time_ms=1769 speed_KB/s=72 progress=0%
[2026-03-17 13:53:18.111] [FRAG] idx=4 offset=524288 len=131072 source=3.234.226.220:6003 time_ms=1821 speed_KB/s=70 progress=0%
[2026-03-17 13:53:18.307] [FRAG] idx=9 offset=1179648 len=131072 source=13.39.21.10:6000 time_ms=619 speed_KB/s=206 progress=0%
[2026-03-17 13:53:18.677] [FRAG] idx=6 offset=786432 len=131072 source=13.220.244.217:6002 time_ms=2386 speed_KB/s=53 progress=0%
[2026-03-17 13:53:18.940] [FRAG] idx=12 offset=1572864 len=131072 source=13.39.21.10:6000 time_ms=633 speed_KB/s=202 progress=0%
[2026-03-17 13:53:19.492] [FRAG] idx=7 offset=917504 len=131072 source=32.195.67.201:6001 time_ms=3201 speed_KB/s=39 progress=0%
[2026-03-17 13:53:19.595] [FRAG] idx=14 offset=1835008 len=131072 source=13.39.21.10:6000 time_ms=654 speed_KB/s=195 progress=0%
[2026-03-17 13:53:20.009] [FRAG] idx=10 offset=1310720 len=131072 source=44.220.89.93:6002 time_ms=1948 speed_KB/s=65 progress=0%
