[2026-03-17 14:00:27.947] [Download] === START === file=Before.Sunset.2004.720p.BrRip.x264.YIFY.mp4 fragment_size=131072 compression=true
[2026-03-17 14:00:27.949] [Download] All sources from Directory:
[2026-03-17 14:00:27.953] [Download]   100.54.135.117:6005 [load=0]
[2026-03-17 14:00:27.953] [Download]   54.236.243.227:6004 [load=0]
[2026-03-17 14:00:27.954] [Download]   3.234.226.220:6003 [load=0]
[2026-03-17 14:00:27.954] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 14:00:27.954] [Download]   13.220.244.217:6002 [load=0]
[2026-03-17 14:00:27.955] [Download]   32.195.67.201:6001 [load=1]
[2026-03-17 14:00:27.955] [Download]   44.192.106.49:6001 [load=1]
[2026-03-17 14:00:27.955] [Download]   13.39.21.10:6000 [load=1]
[2026-03-17 14:00:27.956] [Download] Using 8 source(s):
[2026-03-17 14:00:27.956] [Download]   100.54.135.117:6005 [load=0]
[2026-03-17 14:00:27.956] [Download]   54.236.243.227:6004 [load=0]
[2026-03-17 14:00:27.957] [Download]   3.234.226.220:6003 [load=0]
[2026-03-17 14:00:27.957] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 14:00:27.957] [Download]   13.220.244.217:6002 [load=0]
[2026-03-17 14:00:27.958] [Download]   32.195.67.201:6001 [load=1]
[2026-03-17 14:00:27.958] [Download]   44.192.106.49:6001 [load=1]
[2026-03-17 14:00:27.958] [Download]   13.39.21.10:6000 [load=1]
[2026-03-17 14:00:29.055] [Download] File size: 629293661 bytes (614544 KB)
[2026-03-17 14:00:29.065] [Download] Fragments: 4802 x 128KB, sources: 8
[2026-03-17 14:00:35.520] [FRAG] idx=32 offset=4194304 len=131072 source=44.220.89.93:6002 time_ms=2020 speed_KB/s=63 progress=0%
[2026-03-17 14:00:35.673] [FRAG] idx=33 offset=4325376 len=131072 source=3.234.226.220:6003 time_ms=1980 speed_KB/s=64 progress=0%
[2026-03-17 14:00:35.757] [FRAG] idx=22 offset=2883584 len=131072 source=44.192.106.49:6001 time_ms=4950 speed_KB/s=25 progress=0%
[2026-03-17 14:00:35.908] [FRAG] idx=38 offset=4980736 len=131072 source=13.39.21.10:6000 time_ms=613 speed_KB/s=208 progress=0%
[2026-03-17 14:00:36.561] [FRAG] idx=42 offset=5505024 len=131072 source=13.39.21.10:6000 time_ms=652 speed_KB/s=196 progress=0%
[2026-03-17 14:00:37.212] [FRAG] idx=43 offset=5636096 len=131072 source=13.39.21.10:6000 time_ms=651 speed_KB/s=196 progress=0%
[2026-03-17 14:00:37.593] [FRAG] idx=40 offset=5242880 len=131072 source=3.234.226.220:6003 time_ms=1920 speed_KB/s=66 progress=0%
[2026-03-17 14:00:37.780] [FRAG] idx=44 offset=5767168 len=131072 source=13.39.21.10:6000 time_ms=567 speed_KB/s=225 progress=0%
[2026-03-17 14:00:37.794] [FRAG] idx=39 offset=5111808 len=131072 source=44.220.89.93:6002 time_ms=2273 speed_KB/s=56 progress=0%
[2026-03-17 14:00:37.949] [FRAG] idx=35 offset=4587520 len=131072 source=13.220.244.217:6002 time_ms=3388 speed_KB/s=37 progress=0%
[2026-03-17 14:00:38.049] [FRAG] idx=19 offset=2490368 len=131072 source=54.236.243.227:6004 time_ms=7549 speed_KB/s=16 progress=0%
[2026-03-17 14:00:38.436] [FRAG] idx=46 offset=6029312 len=131072 source=13.39.21.10:6000 time_ms=655 speed_KB/s=195 progress=0%
[2026-03-17 14:00:38.855] [FRAG] idx=37 offset=4849664 len=131072 source=32.195.67.201:6001 time_ms=4046 speed_KB/s=31 progress=0%
[2026-03-17 14:00:38.988] [FRAG] idx=50 offset=6553600 len=131072 source=13.39.21.10:6000 time_ms=552 speed_KB/s=231 progress=0%
[2026-03-17 14:00:39.621] [FRAG] idx=47 offset=6160384 len=131072 source=44.220.89.93:6002 time_ms=1826 speed_KB/s=70 progress=0%
[2026-03-17 14:00:39.627] [FRAG] idx=52 offset=6815744 len=131072 source=13.39.21.10:6000 time_ms=638 speed_KB/s=200 progress=0%
[2026-03-17 14:00:39.838] [FRAG] idx=45 offset=5898240 len=131072 source=3.234.226.220:6003 time_ms=2245 speed_KB/s=57 progress=0%
[2026-03-17 14:00:40.264] [FRAG] idx=54 offset=7077888 len=131072 source=13.39.21.10:6000 time_ms=637 speed_KB/s=200 progress=1%
[2026-03-17 14:00:40.710] [FRAG] idx=41 offset=5373952 len=131072 source=44.192.106.49:6001 time_ms=4952 speed_KB/s=25 progress=1%
[2026-03-17 14:00:40.853] [FRAG] idx=56 offset=7340032 len=131072 source=13.39.21.10:6000 time_ms=588 speed_KB/s=217 progress=1%
[2026-03-17 14:00:40.911] [FRAG] idx=48 offset=6291456 len=131072 source=13.220.244.217:6002 time_ms=2960 speed_KB/s=43 progress=1%
[2026-03-17 14:00:41.398] [FRAG] idx=58 offset=7602176 len=131072 source=13.39.21.10:6000 time_ms=544 speed_KB/s=235 progress=1%
[2026-03-17 14:00:41.598] [FRAG] idx=55 offset=7208960 len=131072 source=3.234.226.220:6003 time_ms=1759 speed_KB/s=72 progress=1%
[2026-03-17 14:00:41.630] [FRAG] idx=53 offset=6946816 len=131072 source=44.220.89.93:6002 time_ms=2009 speed_KB/s=63 progress=1%
[2026-03-17 14:00:42.049] [FRAG] idx=60 offset=7864320 len=131072 source=13.39.21.10:6000 time_ms=651 speed_KB/s=196 progress=1%
[2026-03-17 14:00:42.695] [FRAG] idx=63 offset=8257536 len=131072 source=13.39.21.10:6000 time_ms=644 speed_KB/s=198 progress=1%
[2026-03-17 14:00:42.739] [FRAG] idx=24 offset=3145728 len=131072 source=100.54.135.117:6005 time_ms=11607 speed_KB/s=11 progress=1%
[2026-03-17 14:00:42.803] [FRAG] idx=51 offset=6684672 len=131072 source=32.195.67.201:6001 time_ms=3948 speed_KB/s=32 progress=1%
[2026-03-17 14:00:43.363] [FRAG] idx=64 offset=8388608 len=131072 source=13.39.21.10:6000 time_ms=667 speed_KB/s=191 progress=1%
[2026-03-17 14:00:43.640] [FRAG] idx=62 offset=8126464 len=131072 source=44.220.89.93:6002 time_ms=2010 speed_KB/s=63 progress=1%
[2026-03-17 14:00:43.836] [FRAG] idx=61 offset=7995392 len=131072 source=3.234.226.220:6003 time_ms=2236 speed_KB/s=57 progress=1%
[2026-03-17 14:00:43.990] [FRAG] idx=67 offset=8781824 len=131072 source=13.39.21.10:6000 time_ms=627 speed_KB/s=204 progress=1%
[2026-03-17 14:00:44.202] [FRAG] idx=59 offset=7733248 len=131072 source=13.220.244.217:6002 time_ms=3291 speed_KB/s=38 progress=1%
[2026-03-17 14:00:44.652] [FRAG] idx=70 offset=9175040 len=131072 source=13.39.21.10:6000 time_ms=661 speed_KB/s=193 progress=1%
[2026-03-17 14:00:45.298] [FRAG] idx=72 offset=9437184 len=131072 source=13.39.21.10:6000 time_ms=646 speed_KB/s=198 progress=1%
[2026-03-17 14:00:45.587] [FRAG] idx=57 offset=7471104 len=131072 source=44.192.106.49:6001 time_ms=4877 speed_KB/s=26 progress=1%
[2026-03-17 14:00:45.763] [FRAG] idx=68 offset=8912896 len=131072 source=44.220.89.93:6002 time_ms=2123 speed_KB/s=60 progress=1%
[2026-03-17 14:00:45.868] [FRAG] idx=69 offset=9043968 len=131072 source=3.234.226.220:6003 time_ms=2032 speed_KB/s=62 progress=1%
[2026-03-17 14:00:45.897] [FRAG] idx=66 offset=8650752 len=131072 source=32.195.67.201:6001 time_ms=3094 speed_KB/s=41 progress=1%
[2026-03-17 14:00:45.966] [FRAG] idx=73 offset=9568256 len=131072 source=13.39.21.10:6000 time_ms=668 speed_KB/s=191 progress=1%
[2026-03-17 14:00:46.629] [FRAG] idx=78 offset=10223616 len=131072 source=13.39.21.10:6000 time_ms=663 speed_KB/s=193 progress=1%
[2026-03-17 14:00:47.296] [FRAG] idx=79 offset=10354688 len=131072 source=13.39.21.10:6000 time_ms=666 speed_KB/s=192 progress=1%
[2026-03-17 14:00:47.382] [FRAG] idx=71 offset=9306112 len=131072 source=13.220.244.217:6002 time_ms=3180 speed_KB/s=40 progress=1%
[2026-03-17 14:00:47.785] [FRAG] idx=76 offset=9961472 len=131072 source=3.234.226.220:6003 time_ms=1916 speed_KB/s=66 progress=1%
[2026-03-17 14:00:47.928] [FRAG] idx=80 offset=10485760 len=131072 source=13.39.21.10:6000 time_ms=631 speed_KB/s=202 progress=1%
[2026-03-17 14:00:48.034] [FRAG] idx=75 offset=9830400 len=131072 source=44.220.89.93:6002 time_ms=2270 speed_KB/s=56 progress=1%
[2026-03-17 14:00:48.576] [FRAG] idx=83 offset=10878976 len=131072 source=13.39.21.10:6000 time_ms=648 speed_KB/s=197 progress=1%
[2026-03-17 14:00:48.759] [FRAG] idx=49 offset=6422528 len=131072 source=54.236.243.227:6004 time_ms=10710 speed_KB/s=11 progress=1%
[2026-03-17 14:07:51.076] [Download] === START === file=Before.Sunset.2004.720p.BrRip.x264.YIFY.mp4 fragment_size=131072 compression=true
[2026-03-17 14:07:51.077] [Download] All sources from Directory:
[2026-03-17 14:07:51.087] [Download]   44.192.106.49:6001 [load=0]
[2026-03-17 14:07:51.087] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 14:07:51.088] [Download] Using 2 source(s):
[2026-03-17 14:07:51.089] [Download]   44.192.106.49:6001 [load=0]
[2026-03-17 14:07:51.089] [Download]   44.220.89.93:6002 [load=0]
[2026-03-17 14:07:51.101] [Download] File size: 629293661 bytes (614544 KB)
[2026-03-17 14:07:51.113] [Download] Fragments: 4802 x 128KB, sources: 2
[2026-03-17 14:07:51.187] [FRAG] idx=0 offset=0 len=131072 source=44.192.106.49:6001 time_ms=42 speed_KB/s=3047 progress=0%
[2026-03-17 14:07:51.188] [FRAG] idx=1 offset=131072 len=131072 source=44.220.89.93:6002 time_ms=52 speed_KB/s=2461 progress=0%
[2026-03-17 14:07:51.252] [FRAG] idx=2 offset=262144 len=131072 source=44.192.106.49:6001 time_ms=65 speed_KB/s=1969 progress=0%
[2026-03-17 14:07:51.264] [FRAG] idx=3 offset=393216 len=131072 source=44.220.89.93:6002 time_ms=75 speed_KB/s=1706 progress=0%
[2026-03-17 14:07:51.358] [FRAG] idx=4 offset=524288 len=131072 source=44.192.106.49:6001 time_ms=105 speed_KB/s=1219 progress=0%
